year,9.3.Kvæg(bruttoudbytte),9.3.2.Andetudbytteafkvæg(bruttoudbytte),9.4.Svin(bruttoudbytte),9.5.Fjerkræ(bruttoudbytte),9.6.Pelsdyr(bruttoudbytte),9.7.Får,hestem.v.(bruttoudbytte),SamletBruttoUdbytte
0
0
0
0
0
0
0
0
0
0
0
0
0
2008,997.3,825.6,171.7,118.4,71.9,0.0,6.8,2191.7
2009,766.0,708.2,57.9,75.7,97.4,0.0,2.3,1707.5
2010,953.1,836.4,116.8,169.5,82.3,0.0,5.2,2163.3
2011,1044.2,884.2,159.9,128.3,119.0,0.0,5.2,2340
2012,1153.1,951.6,201.5,159.2,106.6,0.0,7.2,2579.2
2013,1238.5,1092.2,146.2,122.4,137.7,0.0,2.1,2746.1
2014,1333.9,1188.8,145.0,150.9,140.4,0.0,3.7,2966.7
2015,1247.2,1042.9,204.3,187.9,167.9,0.0,8.1,2858.3
2016,1416.0,1227.5,188.5,212.7,185.0,0.0,5.5,3237.2
2017,1564.3,1348.9,215.4,221.2,164.4,0.0,3.4,3517.6
2018,1459.8,1269.7,190.1,168.1,197.0,0.0,0.1,3284
2019,1505.6,1320.9,184.7,193.1,272.8,0.0,5.5,3482.6
2020,1955.0,1713.0,242.0,353.5,363.8,0.0,3.0,4630.3
0
0
0
0
